1.0,[-7.70600607 -7.70600607 -7.70600607]
2.0,[-9.24085935 -9.24085935 -9.24085935]
3.0,[-8.20263414 -8.20263414 -8.20263414]
4.0,[-9.42180896 -9.42180896 -9.42180896]
5.0,[-10.3552759 -10.3552759 -10.3552759]
6.0,[-8.52067373 -8.52067373 -8.52067373]
7.0,[-8.34521285 -8.34521285 -8.34521285]
8.0,[-9.38049327 -9.38049327 -9.38049327]
9.0,[-8.83803658 -8.83803658 -8.83803658]
10.0,[-8.98866196 -8.98866196 -8.98866196]
11.0,[-10.23018232 -10.23018232 -10.23018232]
12.0,[-9.39294155 -9.39294155 -9.39294155]
13.0,[-8.03180405 -8.03180405 -8.03180405]
14.0,[-9.56703839 -9.56703839 -9.56703839]
15.0,[-9.37505786 -9.37505786 -9.37505786]
16.0,[-8.17369463 -8.17369463 -8.17369463]
17.0,[-9.09838265 -9.09838265 -9.09838265]
18.0,[-9.4210022 -9.4210022 -9.4210022]
19.0,[-7.72408612 -7.72408612 -7.72408612]
20.0,[-7.10412656 -7.10412656 -7.10412656]
21.0,[-8.20457511 -8.20457511 -8.20457511]
22.0,[-8.85365905 -8.85365905 -8.85365905]
23.0,[-8.80902902 -8.80902902 -8.80902902]
24.0,[-9.20625826 -9.20625826 -9.20625826]
25.0,[-10.52805158 -10.52805158 -10.52805158]
26.0,[-9.37372954 -9.37372954 -9.37372954]
27.0,[-9.02396598 -9.02396598 -9.02396598]
28.0,[-8.70598647 -8.70598647 -8.70598647]
29.0,[-9.3173709 -9.3173709 -9.3173709]
30.0,[-9.08264945 -9.08264945 -9.08264945]
31.0,[-8.68891906 -8.68891906 -8.68891906]
32.0,[-8.36222473 -8.36222473 -8.36222473]
33.0,[-8.23478942 -8.23478942 -8.23478942]
34.0,[-8.28228344 -8.28228344 -8.28228344]
35.0,[-7.57448964 -7.57448964 -7.57448964]
36.0,[-8.69605153 -8.69605153 -8.69605153]
37.0,[-7.83915211 -7.83915211 -7.83915211]
38.0,[-9.44051801 -9.44051801 -9.44051801]
39.0,[-8.22857556 -8.22857556 -8.22857556]
40.0,[-9.11659959 -9.11659959 -9.11659959]
41.0,[-7.87844935 -7.87844935 -7.87844935]
42.0,[-7.71816763 -7.71816763 -7.71816763]
43.0,[-9.93150522 -9.93150522 -9.93150522]
44.0,[-8.19175801 -8.19175801 -8.19175801]
45.0,[-8.63523448 -8.63523448 -8.63523448]
46.0,[-9.58006674 -9.58006674 -9.58006674]
47.0,[-9.14283538 -9.14283538 -9.14283538]
48.0,[-8.65598928 -8.65598928 -8.65598928]
49.0,[-9.0855773 -9.0855773 -9.0855773]
