1.0,[-0.08576427 -0.06972393 -0.0625899  -0.0880921  -0.24275989  0.0395018 ]
2.0,[ 0.39975865  0.42526149  0.43882584  0.41390432 -0.6436497  -0.19715714]
3.0,[-0.08117246 -0.09865771 -0.08357946 -0.06011069 -0.19920209 -0.38405704]
4.0,[-0.0755956  -0.10196843 -0.09738747 -0.08109024 -0.0939756   0.0418156 ]
5.0,[ 0.40713621  0.44115243  0.42702249  0.42390529 -0.46067143 -0.00865116]
6.0,[-0.08605787 -0.11994872 -0.10942378 -0.08880344  0.03612475 -0.38779491]
7.0,[ 0.43332566  0.41152763  0.44115581  0.41045686 -0.04382332 -1.08832933]
8.0,[-0.07442486 -0.10052962 -0.08535106 -0.08046599  0.02671858 -0.11793861]
9.0,[-0.06238027 -0.08614347 -0.07461514 -0.09206641 -0.29712949  0.03656326]
10.0,[-0.0801742  -0.06793116 -0.07176287 -0.07455533  0.03591301 -0.12542695]
11.0,[ 0.42012397  0.43227092  0.42228362  0.43011499 -0.22947093 -0.67784071]
12.0,[-0.07356734 -0.07816446 -0.07311791 -0.08071107  0.22954288  0.00478069]
13.0,[-0.05960211 -0.0570411  -0.08017645 -0.05976688 -0.16910128 -0.37923534]
14.0,[-0.09260811 -0.10770912 -0.07994264 -0.09335868 -0.06198248 -0.00703511]
15.0,[ 0.43540061  0.43775791  0.42697455  0.42346548 -0.79534709 -0.09406588]
16.0,[-0.07661474 -0.07758248 -0.07593113 -0.09518681 -0.16931432 -0.14335081]
17.0,[-0.09676585 -0.06054851 -0.06625018 -0.08400867 -0.28251103 -0.12052419]
18.0,[ 0.4392726   0.4293682   0.42066014  0.43558348 -1.29451289  0.03272648]
19.0,[-0.06932289 -0.06320458 -0.07718601 -0.0903122  -0.03106813 -0.17871853]
20.0,[ 0.426391    0.44074631  0.44840882  0.44436174 -0.8162478  -0.27821409]
21.0,[ 0.40474098  0.41503946  0.40629135  0.42845112 -0.8686801  -0.24667882]
22.0,[ 0.41820333  0.41892206  0.42768403  0.40754827  0.02839972 -1.01139172]
23.0,[-0.07906574 -0.08672443 -0.08955295 -0.08492031 -0.13199576 -0.10562422]
24.0,[-0.07954273 -0.0797013  -0.07957647 -0.06646508 -0.14698684 -1.02265246]
25.0,[-0.04399541 -0.05758628 -0.06975117 -0.08179996 -0.1673041   0.03688585]
26.0,[-0.05391731 -0.07666467 -0.08056901 -0.07919968 -0.05690894 -0.06668352]
27.0,[-0.05440011 -0.06563455 -0.06296009 -0.07056368 -0.15540273 -0.33097565]
28.0,[ 0.39964546  0.42396961  0.41828043  0.40964635 -0.81557609  0.03731996]
29.0,[-0.08371685 -0.06285698 -0.07845138 -0.06447784 -0.05712707 -0.00631067]
30.0,[-0.07837586 -0.0761999  -0.06775997 -0.07708631 -0.37064753 -0.10680961]
31.0,[-0.08603854 -0.07323824 -0.06867754 -0.08192325 -0.01134819 -0.29388471]
32.0,[-0.07557989 -0.08334833 -0.09080974 -0.09621733  0.34152511  0.03430134]
33.0,[-0.09334474 -0.08201286 -0.08480781 -0.07230225 -0.22783262  0.03609317]
34.0,[-0.04370718 -0.06244857 -0.05576018 -0.06631941  0.03355581 -0.40177896]
35.0,[-0.06029712 -0.0571772  -0.08461124 -0.08795353 -0.34493869  0.18407187]
36.0,[-0.08616675 -0.08607322 -0.08651906 -0.0730266  -0.23140866 -0.13385688]
37.0,[ 0.40961344  0.43010938  0.44580339  0.40231745  0.03786699 -0.72895647]
38.0,[-0.08650854 -0.06134955 -0.06676432 -0.07613785 -0.26977826 -0.26399932]
39.0,[ 0.41327719  0.4259674   0.43667452  0.40661164 -0.87925309 -0.16721131]
40.0,[-0.07548868 -0.05920002 -0.0705016  -0.07801514  0.03728389 -0.05614954]
41.0,[-0.06210089 -0.06342572 -0.08712729 -0.10191744 -0.20125094 -0.10368455]
42.0,[ 0.39922145  0.43220375  0.40441321  0.41732476 -0.55715212 -0.04169574]
43.0,[-0.07149277 -0.11488417 -0.08378868 -0.08467725 -0.56153436 -0.0386702 ]
44.0,[-0.07379993 -0.07020677 -0.0820812  -0.07931867 -0.31864224  0.03036652]
45.0,[-0.08746381 -0.08359777 -0.07603769 -0.088088   -0.35952988 -0.25437081]
46.0,[-0.08464463 -0.08023958 -0.07628241 -0.09081434 -0.46064576 -0.20894604]
47.0,[-0.06103766 -0.07820944 -0.05851112 -0.09623835 -0.4130244   0.03075045]
48.0,[-0.06188952 -0.06477963 -0.10891933 -0.07679566  0.03498606 -0.11053827]
49.0,[-0.09511727 -0.08841117 -0.09967405 -0.10221832 -0.04086392 -0.72885369]
