1.0,[-1.40597112]
2.0,[-0.93755495]
3.0,[-1.55410158]
4.0,[-1.34361227]
5.0,[-1.22319524]
6.0,[-1.91707962]
7.0,[-1.32079031]
8.0,[-1.05308728]
9.0,[-1.33268619]
10.0,[-1.13904723]
11.0,[-1.31430895]
12.0,[-0.83062217]
13.0,[-1.38301066]
14.0,[-1.23692853]
15.0,[-1.23845584]
16.0,[-0.73209399]
17.0,[-1.69823222]
18.0,[-1.05511105]
19.0,[-0.96103742]
20.0,[-1.07851955]
21.0,[-1.30062722]
22.0,[-1.79564816]
23.0,[-0.87400516]
24.0,[-1.36545053]
25.0,[-1.7662875]
26.0,[-0.72786492]
27.0,[-1.86316145]
28.0,[-1.66715902]
29.0,[-1.59616354]
30.0,[-1.10188925]
31.0,[-1.1408447]
32.0,[-1.49740873]
33.0,[-1.15187311]
34.0,[-1.12107308]
35.0,[-1.64392868]
36.0,[-1.20208171]
37.0,[-2.51513961]
38.0,[-2.12938239]
39.0,[-1.43758763]
40.0,[-0.87932773]
41.0,[-1.1466565]
42.0,[-0.7778201]
43.0,[-1.13679615]
44.0,[-1.1285483]
45.0,[-0.90686798]
46.0,[-1.25844862]
47.0,[-0.96417868]
48.0,[-2.24416657]
49.0,[-0.92827567]
